Date;Filière;Valeur (°C)
2014/01/01;"Température normale";4,61
2014/01/02;"Température normale";4,6
2014/01/03;"Température normale";4,61
2014/01/04;"Température normale";4,61
2014/01/05;"Température normale";4,61
2014/01/06;"Température normale";4,62
2014/01/07;"Température normale";4,64
2014/01/08;"Température normale";4,65
2014/01/09;"Température normale";4,67
2014/01/10;"Température normale";4,69
2014/01/11;"Température normale";4,72
2014/01/12;"Température normale";4,74
2014/01/13;"Température normale";4,77
2014/01/14;"Température normale";4,79
2014/01/15;"Température normale";4,83
2014/01/16;"Température normale";4,86
2014/01/17;"Température normale";4,9
2014/01/18;"Température normale";4,94
2014/01/19;"Température normale";4,98
2014/01/20;"Température normale";5,01
2014/01/21;"Température normale";5,06
2014/01/22;"Température normale";5,1
2014/01/23;"Température normale";5,15
2014/01/24;"Température normale";5,19
2014/01/25;"Température normale";5,24
2014/01/26;"Température normale";5,28
2014/01/27;"Température normale";5,33
2014/01/28;"Température normale";5,38
2014/01/29;"Température normale";5,43
2014/01/30;"Température normale";5,48
2014/01/31;"Température normale";5,54
2014/02/01;"Température normale";5,59
2014/02/02;"Température normale";5,64
2014/02/03;"Température normale";5,7
2014/02/04;"Température normale";5,75
2014/02/05;"Température normale";5,8
2014/02/06;"Température normale";5,86
2014/02/07;"Température normale";5,91
2014/02/08;"Température normale";5,97
2014/02/09;"Température normale";6,02
2014/02/10;"Température normale";6,08
2014/02/11;"Température normale";6,13
2014/02/12;"Température normale";6,19
2014/02/13;"Température normale";6,25
2014/02/14;"Température normale";6,31
2014/02/15;"Température normale";6,36
2014/02/16;"Température normale";6,42
2014/02/17;"Température normale";6,48
2014/02/18;"Température normale";6,54
2014/02/19;"Température normale";6,6
2014/02/20;"Température normale";6,66
2014/02/21;"Température normale";6,72
2014/02/22;"Température normale";6,78
2014/02/23;"Température normale";6,85
2014/02/24;"Température normale";6,91
2014/02/25;"Température normale";6,98
2014/02/26;"Température normale";7,04
2014/02/27;"Température normale";7,1
2014/02/28;"Température normale";7,17
2014/03/01;"Température normale";7,24
2014/03/02;"Température normale";7,31
2014/03/03;"Température normale";7,38
2014/03/04;"Température normale";7,45
2014/03/05;"Température normale";7,52
2014/03/06;"Température normale";7,6
2014/03/07;"Température normale";7,67
2014/03/08;"Température normale";7,75
2014/03/09;"Température normale";7,83
2014/03/10;"Température normale";7,91
2014/03/11;"Température normale";7,99
2014/03/12;"Température normale";8,08
2014/03/13;"Température normale";8,16
2014/03/14;"Température normale";8,25
2014/03/15;"Température normale";8,34
2014/03/16;"Température normale";8,43
2014/03/17;"Température normale";8,52
2014/03/18;"Température normale";8,62
2014/03/19;"Température normale";8,71
2014/03/20;"Température normale";8,8
2014/03/21;"Température normale";8,91
2014/03/22;"Température normale";9,01
2014/03/23;"Température normale";9,11
2014/03/24;"Température normale";9,21
2014/03/25;"Température normale";9,32
2014/03/26;"Température normale";9,43
2014/03/27;"Température normale";9,54
2014/03/28;"Température normale";9,65
2014/03/29;"Température normale";9,76
2014/03/30;"Température normale";9,88
2014/03/31;"Température normale";9,99
2014/04/01;"Température normale";10,11
2014/04/02;"Température normale";10,23
2014/04/03;"Température normale";10,35
2014/04/04;"Température normale";10,47
2014/04/05;"Température normale";10,59
2014/04/06;"Température normale";10,72
2014/04/07;"Température normale";10,84
2014/04/08;"Température normale";10,97
2014/04/09;"Température normale";11,1
2014/04/10;"Température normale";11,22
2014/04/11;"Température normale";11,35
2014/04/12;"Température normale";11,48
2014/04/13;"Température normale";11,61
2014/04/14;"Température normale";11,74
2014/04/15;"Température normale";11,87
2014/04/16;"Température normale";12
2014/04/17;"Température normale";12,13
2014/04/18;"Température normale";12,26
2014/04/19;"Température normale";12,4
2014/04/20;"Température normale";12,53
2014/04/21;"Température normale";12,66
2014/04/22;"Température normale";12,79
2014/04/23;"Température normale";12,92
2014/04/24;"Température normale";13,06
2014/04/25;"Température normale";13,19
2014/04/26;"Température normale";13,32
2014/04/27;"Température normale";13,45
2014/04/28;"Température normale";13,58
2014/04/29;"Température normale";13,7
2014/04/30;"Température normale";13,84
2014/05/01;"Température normale";13,96
2014/05/02;"Température normale";14,09
2014/05/03;"Température normale";14,21
2014/05/04;"Température normale";14,34
2014/05/05;"Température normale";14,47
2014/05/06;"Température normale";14,59
2014/05/07;"Température normale";14,71
2014/05/08;"Température normale";14,84
2014/05/09;"Température normale";14,95
2014/05/10;"Température normale";15,08
2014/05/11;"Température normale";15,2
2014/05/12;"Température normale";15,32
2014/05/13;"Température normale";15,43
2014/05/14;"Température normale";15,55
2014/05/15;"Température normale";15,66
2014/05/16;"Température normale";15,78
2014/05/17;"Température normale";15,9
2014/05/18;"Température normale";16,01
2014/05/19;"Température normale";16,12
2014/05/20;"Température normale";16,24
2014/05/21;"Température normale";16,34
2014/05/22;"Température normale";16,45
2014/05/23;"Température normale";16,56
2014/05/24;"Température normale";16,66
2014/05/25;"Température normale";16,77
2014/05/26;"Température normale";16,88
2014/05/27;"Température normale";16,98
2014/05/28;"Température normale";17,09
2014/05/29;"Température normale";17,19
2014/05/30;"Température normale";17,3
2014/05/31;"Température normale";17,4
2014/06/01;"Température normale";17,51
2014/06/02;"Température normale";17,61
2014/06/03;"Température normale";17,71
2014/06/04;"Température normale";17,81
2014/06/05;"Température normale";17,91
2014/06/06;"Température normale";18
2014/06/07;"Température normale";18,11
2014/06/08;"Température normale";18,2
2014/06/09;"Température normale";18,3
2014/06/10;"Température normale";18,39
2014/06/11;"Température normale";18,49
2014/06/12;"Température normale";18,58
2014/06/13;"Température normale";18,68
2014/06/14;"Température normale";18,77
2014/06/15;"Température normale";18,86
2014/06/16;"Température normale";18,96
2014/06/17;"Température normale";19,05
2014/06/18;"Température normale";19,14
2014/06/19;"Température normale";19,23
2014/06/20;"Température normale";19,32
2014/06/21;"Température normale";19,41
2014/06/22;"Température normale";19,49
2014/06/23;"Température normale";19,58
2014/06/24;"Température normale";19,66
2014/06/25;"Température normale";19,75
2014/06/26;"Température normale";19,83
2014/06/27;"Température normale";19,91
2014/06/28;"Température normale";19,99
2014/06/29;"Température normale";20,07
2014/06/30;"Température normale";20,15
2014/07/01;"Température normale";20,22
2014/07/02;"Température normale";20,29
2014/07/03;"Température normale";20,37
2014/07/04;"Température normale";20,43
2014/07/05;"Température normale";20,49
2014/07/06;"Température normale";20,56
2014/07/07;"Température normale";20,62
2014/07/08;"Température normale";20,68
2014/07/09;"Température normale";20,74
2014/07/10;"Température normale";20,79
2014/07/11;"Température normale";20,85
2014/07/12;"Température normale";20,89
2014/07/13;"Température normale";20,94
2014/07/14;"Température normale";20,98
2014/07/15;"Température normale";21,02
2014/07/16;"Température normale";21,06
2014/07/17;"Température normale";21,09
2014/07/18;"Température normale";21,12
2014/07/19;"Température normale";21,15
2014/07/20;"Température normale";21,17
2014/07/21;"Température normale";21,19
2014/07/22;"Température normale";21,21
2014/07/23;"Température normale";21,22
2014/07/24;"Température normale";21,22
2014/07/25;"Température normale";21,23
2014/07/26;"Température normale";21,23
2014/07/27;"Température normale";21,23
2014/07/28;"Température normale";21,22
2014/07/29;"Température normale";21,22
2014/07/30;"Température normale";21,2
2014/07/31;"Température normale";21,18
2014/08/01;"Température normale";21,16
2014/08/02;"Température normale";21,13
2014/08/03;"Température normale";21,1
2014/08/04;"Température normale";21,07
2014/08/05;"Température normale";21,03
2014/08/06;"Température normale";20,99
2014/08/07;"Température normale";20,94
2014/08/08;"Température normale";20,89
2014/08/09;"Température normale";20,84
2014/08/10;"Température normale";20,78
2014/08/11;"Température normale";20,73
2014/08/12;"Température normale";20,66
2014/08/13;"Température normale";20,59
2014/08/14;"Température normale";20,52
2014/08/15;"Température normale";20,44
2014/08/16;"Température normale";20,37
2014/08/17;"Température normale";20,29
2014/08/18;"Température normale";20,2
2014/08/19;"Température normale";20,11
2014/08/20;"Température normale";20,03
2014/08/21;"Température normale";19,94
2014/08/22;"Température normale";19,85
2014/08/23;"Température normale";19,75
2014/08/24;"Température normale";19,64
2014/08/25;"Température normale";19,54
2014/08/26;"Température normale";19,44
2014/08/27;"Température normale";19,33
2014/08/28;"Température normale";19,23
2014/08/29;"Température normale";19,11
2014/08/30;"Température normale";19
2014/08/31;"Température normale";18,88
2014/09/01;"Température normale";18,77
2014/09/02;"Température normale";18,65
2014/09/03;"Température normale";18,54
2014/09/04;"Température normale";18,41
2014/09/05;"Température normale";18,29
2014/09/06;"Température normale";18,17
2014/09/07;"Température normale";18,04
2014/09/08;"Température normale";17,92
2014/09/09;"Température normale";17,79
2014/09/10;"Température normale";17,67
2014/09/11;"Température normale";17,54
2014/09/12;"Température normale";17,42
2014/09/13;"Température normale";17,29
2014/09/14;"Température normale";17,16
2014/09/15;"Température normale";17,03
2014/09/16;"Température normale";16,9
2014/09/17;"Température normale";16,77
2014/09/18;"Température normale";16,64
2014/09/19;"Température normale";16,51
2014/09/20;"Température normale";16,38
2014/09/21;"Température normale";16,26
2014/09/22;"Température normale";16,13
2014/09/23;"Température normale";16
2014/09/24;"Température normale";15,87
2014/09/25;"Température normale";15,74
2014/09/26;"Température normale";15,61
2014/09/27;"Température normale";15,48
2014/09/28;"Température normale";15,34
2014/09/29;"Température normale";15,22
2014/09/30;"Température normale";15,09
2014/10/01;"Température normale";14,96
2014/10/02;"Température normale";14,83
2014/10/03;"Température normale";14,69
2014/10/04;"Température normale";14,56
2014/10/05;"Température normale";14,43
2014/10/06;"Température normale";14,3
2014/10/07;"Température normale";14,17
2014/10/08;"Température normale";14,03
2014/10/09;"Température normale";13,9
2014/10/10;"Température normale";13,77
2014/10/11;"Température normale";13,64
2014/10/12;"Température normale";13,5
2014/10/13;"Température normale";13,37
2014/10/14;"Température normale";13,23
2014/10/15;"Température normale";13,1
2014/10/16;"Température normale";12,96
2014/10/17;"Température normale";12,82
2014/10/18;"Température normale";12,69
2014/10/19;"Température normale";12,55
2014/10/20;"Température normale";12,41
2014/10/21;"Température normale";12,27
2014/10/22;"Température normale";12,13
2014/10/23;"Température normale";11,99
2014/10/24;"Température normale";11,86
2014/10/25;"Température normale";11,71
2014/10/26;"Température normale";11,57
2014/10/27;"Température normale";11,43
2014/10/28;"Température normale";11,29
2014/10/29;"Température normale";11,14
2014/10/30;"Température normale";11
2014/10/31;"Température normale";10,85
2014/11/01;"Température normale";10,7
2014/11/02;"Température normale";10,56
2014/11/03;"Température normale";10,41
2014/11/04;"Température normale";10,27
2014/11/05;"Température normale";10,12
2014/11/06;"Température normale";9,98
2014/11/07;"Température normale";9,83
2014/11/08;"Température normale";9,68
2014/11/09;"Température normale";9,53
2014/11/10;"Température normale";9,38
2014/11/11;"Température normale";9,24
2014/11/12;"Température normale";9,09
2014/11/13;"Température normale";8,95
2014/11/14;"Température normale";8,8
2014/11/15;"Température normale";8,65
2014/11/16;"Température normale";8,52
2014/11/17;"Température normale";8,37
2014/11/18;"Température normale";8,23
2014/11/19;"Température normale";8,09
2014/11/20;"Température normale";7,95
2014/11/21;"Température normale";7,81
2014/11/22;"Température normale";7,67
2014/11/23;"Température normale";7,54
2014/11/24;"Température normale";7,4
2014/11/25;"Température normale";7,27
2014/11/26;"Température normale";7,15
2014/11/27;"Température normale";7,02
2014/11/28;"Température normale";6,89
2014/11/29;"Température normale";6,77
2014/11/30;"Température normale";6,65
2014/12/01;"Température normale";6,54
2014/12/02;"Température normale";6,42
2014/12/03;"Température normale";6,31
2014/12/04;"Température normale";6,2
2014/12/05;"Température normale";6,09
2014/12/06;"Température normale";5,99
2014/12/07;"Température normale";5,89
2014/12/08;"Température normale";5,8
2014/12/09;"Température normale";5,7
2014/12/10;"Température normale";5,61
2014/12/11;"Température normale";5,53
2014/12/12;"Température normale";5,45
2014/12/13;"Température normale";5,37
2014/12/14;"Température normale";5,3
2014/12/15;"Température normale";5,22
2014/12/16;"Température normale";5,16
2014/12/17;"Température normale";5,09
2014/12/18;"Température normale";5,04
2014/12/19;"Température normale";4,98
2014/12/20;"Température normale";4,93
2014/12/21;"Température normale";4,88
2014/12/22;"Température normale";4,83
2014/12/23;"Température normale";4,8
2014/12/24;"Température normale";4,77
2014/12/25;"Température normale";4,73
2014/12/26;"Température normale";4,7
2014/12/27;"Température normale";4,68
2014/12/28;"Température normale";4,66
2014/12/29;"Température normale";4,64
2014/12/30;"Température normale";4,63
2014/12/31;"Température normale";4,61
2015/01/01;"Température normale";4,61
2015/01/02;"Température normale";4,6
2015/01/03;"Température normale";4,61
2015/01/04;"Température normale";4,61
2015/01/05;"Température normale";4,61
2015/01/06;"Température normale";4,62
2015/01/07;"Température normale";4,64
2015/01/08;"Température normale";4,65
2015/01/09;"Température normale";4,67
2015/01/10;"Température normale";4,69
2015/01/11;"Température normale";4,72
2015/01/12;"Température normale";4,74
2015/01/13;"Température normale";4,77
2015/01/14;"Température normale";4,79
2015/01/15;"Température normale";4,83
2015/01/16;"Température normale";4,86
2015/01/17;"Température normale";4,9
2015/01/18;"Température normale";4,94
2015/01/19;"Température normale";4,98
2015/01/20;"Température normale";5,01
2015/01/21;"Température normale";5,06
2015/01/22;"Température normale";5,1
2015/01/23;"Température normale";5,15
2015/01/24;"Température normale";5,19
2015/01/25;"Température normale";5,24
2015/01/26;"Température normale";5,28
2015/01/27;"Température normale";5,33
2015/01/28;"Température normale";5,38
2015/01/29;"Température normale";5,43
2015/01/30;"Température normale";5,48
2015/01/31;"Température normale";5,54
2015/02/01;"Température normale";5,59
2015/02/02;"Température normale";5,64
2015/02/03;"Température normale";5,7
2015/02/04;"Température normale";5,75
2015/02/05;"Température normale";5,8
2015/02/06;"Température normale";5,86
2015/02/07;"Température normale";5,91
2015/02/08;"Température normale";5,97
2015/02/09;"Température normale";6,02
2015/02/10;"Température normale";6,08
2015/02/11;"Température normale";6,13
2015/02/12;"Température normale";6,19
2015/02/13;"Température normale";6,25
2015/02/14;"Température normale";6,31
2015/02/15;"Température normale";6,36
2015/02/16;"Température normale";6,42
2015/02/17;"Température normale";6,48
2015/02/18;"Température normale";6,54
2015/02/19;"Température normale";6,6
2015/02/20;"Température normale";6,66
2015/02/21;"Température normale";6,72
2015/02/22;"Température normale";6,78
2015/02/23;"Température normale";6,85
2015/02/24;"Température normale";6,91
2015/02/25;"Température normale";6,98
2015/02/26;"Température normale";7,04
2015/02/27;"Température normale";7,1
2015/02/28;"Température normale";7,17
2015/03/01;"Température normale";7,24
2015/03/02;"Température normale";7,31
2015/03/03;"Température normale";7,38
2015/03/04;"Température normale";7,45
2015/03/05;"Température normale";7,52
2015/03/06;"Température normale";7,6
2015/03/07;"Température normale";7,67
2015/03/08;"Température normale";7,75
2015/03/09;"Température normale";7,83
2015/03/10;"Température normale";7,91
2015/03/11;"Température normale";7,99
2015/03/12;"Température normale";8,08
2015/03/13;"Température normale";8,16
2015/03/14;"Température normale";8,25
2015/03/15;"Température normale";8,34
2015/03/16;"Température normale";8,43
2015/03/17;"Température normale";8,52
2015/03/18;"Température normale";8,62
2015/03/19;"Température normale";8,71
2015/03/20;"Température normale";8,8
2015/03/21;"Température normale";8,91
2015/03/22;"Température normale";9,01
2015/03/23;"Température normale";9,11
2015/03/24;"Température normale";9,21
2015/03/25;"Température normale";9,32
2015/03/26;"Température normale";9,43
2015/03/27;"Température normale";9,54
2015/03/28;"Température normale";9,65
2015/03/29;"Température normale";9,76
2015/03/30;"Température normale";9,88
2015/03/31;"Température normale";9,99
2015/04/01;"Température normale";10,11
2015/04/02;"Température normale";10,23
2015/04/03;"Température normale";10,35
2015/04/04;"Température normale";10,47
2015/04/05;"Température normale";10,59
2015/04/06;"Température normale";10,72
2015/04/07;"Température normale";10,84
2015/04/08;"Température normale";10,97
2015/04/09;"Température normale";11,1
2015/04/10;"Température normale";11,22
2015/04/11;"Température normale";11,35
2015/04/12;"Température normale";11,48
2015/04/13;"Température normale";11,61
2015/04/14;"Température normale";11,74
2015/04/15;"Température normale";11,87
2015/04/16;"Température normale";12
2015/04/17;"Température normale";12,13
2015/04/18;"Température normale";12,26
2015/04/19;"Température normale";12,4
2015/04/20;"Température normale";12,53
2015/04/21;"Température normale";12,66
2015/04/22;"Température normale";12,79
2015/04/23;"Température normale";12,92
2015/04/24;"Température normale";13,06
2015/04/25;"Température normale";13,19
2015/04/26;"Température normale";13,32
2015/04/27;"Température normale";13,45
2015/04/28;"Température normale";13,58
2015/04/29;"Température normale";13,7
2015/04/30;"Température normale";13,84
2015/05/01;"Température normale";13,96
2015/05/02;"Température normale";14,09
2015/05/03;"Température normale";14,21
2015/05/04;"Température normale";14,34
2015/05/05;"Température normale";14,47
2015/05/06;"Température normale";14,59
2015/05/07;"Température normale";14,71
2015/05/08;"Température normale";14,84
2015/05/09;"Température normale";14,95
2015/05/10;"Température normale";15,08
2015/05/11;"Température normale";15,2
2015/05/12;"Température normale";15,32
2015/05/13;"Température normale";15,43
2015/05/14;"Température normale";15,55
2015/05/15;"Température normale";15,66
2015/05/16;"Température normale";15,78
2015/05/17;"Température normale";15,9
2015/05/18;"Température normale";16,01
2015/05/19;"Température normale";16,12
2015/05/20;"Température normale";16,24
2015/05/21;"Température normale";16,34
2015/05/22;"Température normale";16,45
2015/05/23;"Température normale";16,56
2015/05/24;"Température normale";16,66
2015/05/25;"Température normale";16,77
2015/05/26;"Température normale";16,88
2015/05/27;"Température normale";16,98
2015/05/28;"Température normale";17,09
2015/05/29;"Température normale";17,19
2015/05/30;"Température normale";17,3
2015/05/31;"Température normale";17,4
2015/06/01;"Température normale";17,51
2015/06/02;"Température normale";17,61
2015/06/03;"Température normale";17,71
2015/06/04;"Température normale";17,81
2015/06/05;"Température normale";17,91
2015/06/06;"Température normale";18
2015/06/07;"Température normale";18,11
2015/06/08;"Température normale";18,2
2015/06/09;"Température normale";18,3
2015/06/10;"Température normale";18,39
2015/06/11;"Température normale";18,49
2015/06/12;"Température normale";18,58
2015/06/13;"Température normale";18,68
2015/06/14;"Température normale";18,77
2015/06/15;"Température normale";18,86
2015/06/16;"Température normale";18,96
2015/06/17;"Température normale";19,05
2015/06/18;"Température normale";19,14
2015/06/19;"Température normale";19,23
2015/06/20;"Température normale";19,32
2015/06/21;"Température normale";19,41
2015/06/22;"Température normale";19,49
2015/06/23;"Température normale";19,58
2015/06/24;"Température normale";19,66
2015/06/25;"Température normale";19,75
2015/06/26;"Température normale";19,83
2015/06/27;"Température normale";19,91
2015/06/28;"Température normale";19,99
2015/06/29;"Température normale";20,07
2015/06/30;"Température normale";20,15
2015/07/01;"Température normale";20,22
2015/07/02;"Température normale";20,29
2015/07/03;"Température normale";20,37
2015/07/04;"Température normale";20,43
2015/07/05;"Température normale";20,49
2015/07/06;"Température normale";20,56
2015/07/07;"Température normale";20,62
2015/07/08;"Température normale";20,68
2015/07/09;"Température normale";20,74
2015/07/10;"Température normale";20,79
2015/07/11;"Température normale";20,85
2015/07/12;"Température normale";20,89
2015/07/13;"Température normale";20,94
2015/07/14;"Température normale";20,98
2015/07/15;"Température normale";21,02
2015/07/16;"Température normale";21,06
2015/07/17;"Température normale";21,09
2015/07/18;"Température normale";21,12
2015/07/19;"Température normale";21,15
2015/07/20;"Température normale";21,17
2015/07/21;"Température normale";21,19
2015/07/22;"Température normale";21,21
2015/07/23;"Température normale";21,22
2015/07/24;"Température normale";21,22
2015/07/25;"Température normale";21,23
2015/07/26;"Température normale";21,23
2015/07/27;"Température normale";21,23
2015/07/28;"Température normale";21,22
2015/07/29;"Température normale";21,22
2015/07/30;"Température normale";21,2
2015/07/31;"Température normale";21,18
2015/08/01;"Température normale";21,16
2015/08/02;"Température normale";21,13
2015/08/03;"Température normale";21,1
2015/08/04;"Température normale";21,07
2015/08/05;"Température normale";21,03
2015/08/06;"Température normale";20,99
2015/08/07;"Température normale";20,94
2015/08/08;"Température normale";20,89
2015/08/09;"Température normale";20,84
2015/08/10;"Température normale";20,78
2015/08/11;"Température normale";20,73
2015/08/12;"Température normale";20,66
2015/08/13;"Température normale";20,59
2015/08/14;"Température normale";20,52
2015/08/15;"Température normale";20,44
2015/08/16;"Température normale";20,37
2015/08/17;"Température normale";20,29
2015/08/18;"Température normale";20,2
2015/08/19;"Température normale";20,11
2015/08/20;"Température normale";20,03
2015/08/21;"Température normale";19,94
2015/08/22;"Température normale";19,85
2015/08/23;"Température normale";19,75
2015/08/24;"Température normale";19,64
2015/08/25;"Température normale";19,54
2015/08/26;"Température normale";19,44
2015/08/27;"Température normale";19,33
2015/08/28;"Température normale";19,23
2015/08/29;"Température normale";19,11
2015/08/30;"Température normale";19
2015/08/31;"Température normale";18,88
2015/09/01;"Température normale";18,77
2015/09/02;"Température normale";18,65
2015/09/03;"Température normale";18,54
2015/09/04;"Température normale";18,41
2015/09/05;"Température normale";18,29
2015/09/06;"Température normale";18,17
2015/09/07;"Température normale";18,04
2015/09/08;"Température normale";17,92
2015/09/09;"Température normale";17,79
2015/09/10;"Température normale";17,67
2015/09/11;"Température normale";17,54
2015/09/12;"Température normale";17,42
2015/09/13;"Température normale";17,29
2015/09/14;"Température normale";17,16
2015/09/15;"Température normale";17,03
2015/09/16;"Température normale";16,9
2015/09/17;"Température normale";16,77
2015/09/18;"Température normale";16,64
2015/09/19;"Température normale";16,51
2015/09/20;"Température normale";16,38
2015/09/21;"Température normale";16,26
2015/09/22;"Température normale";16,13
2015/09/23;"Température normale";16
2015/09/24;"Température normale";15,87
2015/09/25;"Température normale";15,74
2015/09/26;"Température normale";15,61
2015/09/27;"Température normale";15,48
2015/09/28;"Température normale";15,34
2015/09/29;"Température normale";15,22
2015/09/30;"Température normale";15,09
2015/10/01;"Température normale";14,96
2015/10/02;"Température normale";14,83
2015/10/03;"Température normale";14,69
2015/10/04;"Température normale";14,56
2015/10/05;"Température normale";14,43
2015/10/06;"Température normale";14,3
2015/10/07;"Température normale";14,17
2015/10/08;"Température normale";14,03
2015/10/09;"Température normale";13,9
2015/10/10;"Température normale";13,77
2015/10/11;"Température normale";13,64
2015/10/12;"Température normale";13,5
2015/10/13;"Température normale";13,37
2015/10/14;"Température normale";13,23
2015/10/15;"Température normale";13,1
2015/10/16;"Température normale";12,96
2015/10/17;"Température normale";12,82
2015/10/18;"Température normale";12,69
2015/10/19;"Température normale";12,55
2015/10/20;"Température normale";12,41
2015/10/21;"Température normale";12,27
2015/10/22;"Température normale";12,13
2015/10/23;"Température normale";11,99
2015/10/24;"Température normale";11,86
2015/10/25;"Température normale";11,71
2015/10/26;"Température normale";11,57
2015/10/27;"Température normale";11,43
2015/10/28;"Température normale";11,29
2015/10/29;"Température normale";11,14
2015/10/30;"Température normale";11
2015/10/31;"Température normale";10,85
2015/11/01;"Température normale";10,7
2015/11/02;"Température normale";10,56
2015/11/03;"Température normale";10,41
2015/11/04;"Température normale";10,27
2015/11/05;"Température normale";10,12
2015/11/06;"Température normale";9,98
2015/11/07;"Température normale";9,83
2015/11/08;"Température normale";9,68
2015/11/09;"Température normale";9,53
2015/11/10;"Température normale";9,38
2015/11/11;"Température normale";9,24
2015/11/12;"Température normale";9,09
2015/11/13;"Température normale";8,95
2015/11/14;"Température normale";8,8
2015/11/15;"Température normale";8,65
2015/11/16;"Température normale";8,52
2015/11/17;"Température normale";8,37
2015/11/18;"Température normale";8,23
2015/11/19;"Température normale";8,09
2015/11/20;"Température normale";7,95
2015/11/21;"Température normale";7,81
2015/11/22;"Température normale";7,67
2015/11/23;"Température normale";7,54
2015/11/24;"Température normale";7,4
2015/11/25;"Température normale";7,27
2015/11/26;"Température normale";7,15
2015/11/27;"Température normale";7,02
2015/11/28;"Température normale";6,89
2015/11/29;"Température normale";6,77
2015/11/30;"Température normale";6,65
2015/12/01;"Température normale";6,54
2015/12/02;"Température normale";6,42
2015/12/03;"Température normale";6,31
2015/12/04;"Température normale";6,2
2015/12/05;"Température normale";6,09
2015/12/06;"Température normale";5,99
2015/12/07;"Température normale";5,89
2015/12/08;"Température normale";5,8
2015/12/09;"Température normale";5,7
2015/12/10;"Température normale";5,61
2015/12/11;"Température normale";5,53
2015/12/12;"Température normale";5,45
2015/12/13;"Température normale";5,37
2015/12/14;"Température normale";5,3
2015/12/15;"Température normale";5,22
2015/12/16;"Température normale";5,16
2015/12/17;"Température normale";5,09
2015/12/18;"Température normale";5,04
2015/12/19;"Température normale";4,98
2015/12/20;"Température normale";4,93
2015/12/21;"Température normale";4,88
2015/12/22;"Température normale";4,83
2015/12/23;"Température normale";4,8
2015/12/24;"Température normale";4,77
2015/12/25;"Température normale";4,73
2015/12/26;"Température normale";4,7
2015/12/27;"Température normale";4,68
2015/12/28;"Température normale";4,66
2015/12/29;"Température normale";4,64
2015/12/30;"Température normale";4,63
2015/12/31;"Température normale";4,61
2016/01/01;"Température normale";4,61
2016/01/02;"Température normale";4,6
2016/01/03;"Température normale";4,61
2016/01/04;"Température normale";4,61
2016/01/05;"Température normale";4,61
2016/01/06;"Température normale";4,62
2016/01/07;"Température normale";4,64
2016/01/08;"Température normale";4,65
2016/01/09;"Température normale";4,67
2016/01/10;"Température normale";4,69
2016/01/11;"Température normale";4,72
2016/01/12;"Température normale";4,74
2016/01/13;"Température normale";4,77
2016/01/14;"Température normale";4,79
2016/01/15;"Température normale";4,83
2016/01/16;"Température normale";4,86
2016/01/17;"Température normale";4,9
2016/01/18;"Température normale";4,94
2016/01/19;"Température normale";4,98
2016/01/20;"Température normale";5,01
2016/01/21;"Température normale";5,06
2016/01/22;"Température normale";5,1
2016/01/23;"Température normale";5,15
2016/01/24;"Température normale";5,19
2016/01/25;"Température normale";5,24
2016/01/26;"Température normale";5,28
2016/01/27;"Température normale";5,33
2016/01/28;"Température normale";5,38
2016/01/29;"Température normale";5,43
2016/01/30;"Température normale";5,48
2016/01/31;"Température normale";5,54
2016/02/01;"Température normale";5,59
2016/02/02;"Température normale";5,64
2016/02/03;"Température normale";5,7
2016/02/04;"Température normale";5,75
2016/02/05;"Température normale";5,8
2016/02/06;"Température normale";5,86
2016/02/07;"Température normale";5,91
2016/02/08;"Température normale";5,97
2016/02/09;"Température normale";6,02
2016/02/10;"Température normale";6,08
2016/02/11;"Température normale";6,13
2016/02/12;"Température normale";6,19
2016/02/13;"Température normale";6,25
2016/02/14;"Température normale";6,31
2016/02/15;"Température normale";6,36
2016/02/16;"Température normale";6,42
2016/02/17;"Température normale";6,48
2016/02/18;"Température normale";6,54
2016/02/19;"Température normale";6,6
2016/02/20;"Température normale";6,66
2016/02/21;"Température normale";6,72
2016/02/22;"Température normale";6,78
2016/02/23;"Température normale";6,85
2016/02/24;"Température normale";6,91
2016/02/25;"Température normale";6,98
2016/02/26;"Température normale";7,04
2016/02/27;"Température normale";7,1
2016/02/28;"Température normale";7,17
2016/02/29;"Température normale";7,17
2016/03/01;"Température normale";7,24
2016/03/02;"Température normale";7,31
2016/03/03;"Température normale";7,38
2016/03/04;"Température normale";7,45
2016/03/05;"Température normale";7,52
2016/03/06;"Température normale";7,6
2016/03/07;"Température normale";7,67
2016/03/08;"Température normale";7,75
2016/03/09;"Température normale";7,83
2016/03/10;"Température normale";7,91
2016/03/11;"Température normale";7,99
2016/03/12;"Température normale";8,08
2016/03/13;"Température normale";8,16
2016/03/14;"Température normale";8,25
2016/03/15;"Température normale";8,34
2016/03/16;"Température normale";8,43
2016/03/17;"Température normale";8,52
2016/03/18;"Température normale";8,62
2016/03/19;"Température normale";8,71
2016/03/20;"Température normale";8,8
2016/03/21;"Température normale";8,91
2016/03/22;"Température normale";9,01
2016/03/23;"Température normale";9,11
2016/03/24;"Température normale";9,21
2016/03/25;"Température normale";9,32
2016/03/26;"Température normale";9,43
2016/03/27;"Température normale";9,54
2016/03/28;"Température normale";9,65
2016/03/29;"Température normale";9,76
2016/03/30;"Température normale";9,88
2016/03/31;"Température normale";9,99
2016/04/01;"Température normale";10,11
2016/04/02;"Température normale";10,23
